seriesNum;src;dst;ip_src;ip_dst;dst_port;lattency(sec)
0;serv12;serv53;172.16.24.12;172.16.40.13;80;15.43988585472107
0;serv54;serv11;172.16.40.14;172.16.24.11;80;15.383303880691528
0;serv21;serv63;172.16.0.11;172.16.32.13;80;15.382968664169312
0;serv12;serv62;172.16.24.12;172.16.32.12;80;15.38367223739624
0;serv65;serv21;172.16.32.15;172.16.0.11;80;1.0148212909698486
0;serv32;serv35;172.16.16.12;172.16.16.15;80;7.2230541706085205
0;serv31;serv63;172.16.16.11;172.16.32.13;80;3.0317747592926025
0;serv22;serv14;172.16.0.12;172.16.24.14;80;15.446645021438599
0;serv55;serv15;172.16.40.15;172.16.24.15;80;15.384297132492065
0;serv62;serv35;172.16.32.12;172.16.16.15;80;50.002220153808594
1;serv12;serv53;172.16.24.12;172.16.40.13;80;3.042555570602417
1;serv54;serv11;172.16.40.14;172.16.24.11;80;3.031214952468872
1;serv21;serv63;172.16.0.11;172.16.32.13;80;3.03139328956604
1;serv12;serv62;172.16.24.12;172.16.32.12;80;3.036046028137207
1;serv65;serv21;172.16.32.15;172.16.0.11;80;1.0111503601074219
1;serv32;serv35;172.16.16.12;172.16.16.15;80;3.0317344665527344
1;serv31;serv63;172.16.16.11;172.16.32.13;80;3.0306663513183594
1;serv22;serv14;172.16.0.12;172.16.24.14;80;3.0314550399780273
1;serv55;serv15;172.16.40.15;172.16.24.15;80;3.0301263332366943
1;serv62;serv35;172.16.32.12;172.16.16.15;80;3.0316379070281982
2;serv12;serv53;172.16.24.12;172.16.40.13;80;3.022368907928467
2;serv54;serv11;172.16.40.14;172.16.24.11;80;3.0324783325195312
2;serv21;serv63;172.16.0.11;172.16.32.13;80;3.031087875366211
2;serv12;serv62;172.16.24.12;172.16.32.12;80;3.03136944770813
2;serv65;serv21;172.16.32.15;172.16.0.11;80;1.0154478549957275
2;serv32;serv35;172.16.16.12;172.16.16.15;80;3.030348062515259
2;serv31;serv63;172.16.16.11;172.16.32.13;80;3.03100323677063
2;serv22;serv14;172.16.0.12;172.16.24.14;80;3.0313260555267334
2;serv55;serv15;172.16.40.15;172.16.24.15;80;3.0315301418304443
2;serv62;serv35;172.16.32.12;172.16.16.15;80;3.030571937561035
